date,ffr,inflation,output_gap
1988-07-01,1.5588415839303025,3.8020745409187207,0.5955299259234919
1988-10-01,1.2803011274120342,3.870631582865003,1.148361576673745
1989-01-01,1.2680573835872448,4.137816429402319,1.391105452881361
1989-04-01,1.3070809325141353,4.2332589693888645,1.3841887914506783
1989-07-01,1.7223295260045857,3.7531622696060696,1.3607929565536732
1989-10-01,1.5846899044602023,3.597405854742197,0.7987372905486855
1990-01-01,1.269106796428599,3.6347517730496604,1.1499394383902457
1990-04-01,1.6139146680072771,3.6911633129243393,0.7862318670378091
1990-07-01,1.5475298334826204,3.821167946775339,0.15103263990897423
1990-10-01,3.046650315592729,3.8546674506277467,-1.4285162946197245
1991-01-01,2.6337496781604495,3.751924721984601,-2.5307527766678497
1991-04-01,2.5783575304872732,3.355046104390502,-2.392848015252784
1991-07-01,2.9489076439018422,3.279596047709332,-2.5069793061893666
1991-10-01,2.815615967581056,3.123803180417939,-2.7694107427840198
1992-01-01,2.77154619955356,2.5031743152548636,-2.207752837071758
1992-04-01,2.494686982895223,2.3687139863802997,-1.756226107663519
1992-07-01,2.3533804723119727,2.0709482506578336,-1.4053159875180905
1992-10-01,2.2945575555563216,2.1669277098706807,-1.004479037075084
1993-01-01,2.292551719875468,2.36000064349029,-1.4690307897154915
1993-04-01,2.0686117836560607,2.353881826177351,-1.5380343070339382
1993-07-01,1.8072082643513891,2.460177272799613,-1.7154320979946192
1993-10-01,2.407594416366049,2.315363583202945,-1.036207325400813
1994-01-01,2.5473724551865824,2.231721883447535,-0.7405445407809893
1994-04-01,1.9639599528874876,2.1169559579420794,-0.0680112969204882
1994-07-01,2.0496353061496255,2.0966965381210345,-0.16624188962212666
1994-10-01,1.5273506736935356,2.0930519941919856,0.2847070658179434
1995-01-01,2.1929442883478862,2.158406100110688,-0.05286149339934932
1995-04-01,2.311335010362689,2.155686790489897,-0.453343666987271
1995-07-01,1.9829911816514025,2.0734137548108267,-0.30957166778057
1995-10-01,1.9759922204786768,2.0123159789992906,-0.3491811649992944
1996-01-01,2.022100058429063,1.948775055679297,-0.32990498023920856
1996-04-01,1.8650047234286418,1.8825538032978484,0.5584651856226805
1996-07-01,1.7893085696686584,1.715350223546963,0.6360641176865642
1996-10-01,1.7083778613040734,1.7679426901799022,0.8082857766297148
1997-01-01,1.6693888104894243,1.8864303954418737,0.5448971738433339
1997-04-01,1.41531314597293,1.6669606632563116,1.2630874776467622
1997-07-01,1.2830510351003235,1.7772633368009272,1.5311725476368598
1997-10-01,1.4712917713184692,1.5739998542592781,1.3776277608424579
1998-01-01,1.0894805969633545,1.1140890981528262,1.3543271512671802
1998-04-01,0.8181977520287658,1.1523669066828557,1.2312769991574193
1998-07-01,0.6132123315343359,1.138719336634808,1.4339809785080961
1998-10-01,0.19646853698360622,1.0875959537987034,1.9793031290158798
1999-01-01,0.5854580947305434,1.2723156718342565,1.842073547548107
1999-04-01,0.9749722495915042,1.4151145671035925,1.597068702406144
1999-07-01,0.7829826824641775,1.345099992883081,1.8438492112780183
1999-10-01,1.1883966820146892,1.6209387818829413,2.40260277045251
2000-01-01,1.9108798485270768,1.96513963951217,1.6714679687103347
2000-04-01,2.0039259687711644,2.2142665858574384,2.451811276366507
2000-07-01,2.1969167056324856,2.4494382022471894,1.5493016189667044
2000-10-01,2.137771915459182,2.4331308052238265,1.212064648042699
2001-01-01,2.223068890674863,2.4295486395360166,0.005168382445072008
2001-04-01,2.3271579773576825,2.407611693325995,-0.18745682881193673
2001-07-01,2.7491929452230206,2.2126562842728736,-1.340874050283705
2001-10-01,2.399712654420835,1.9839917095054282,-1.7735663410790514
2002-01-01,2.194171114340138,1.6323047330064178,-1.6151420374171463
2002-04-01,2.146358525938924,1.3774809468666716,-1.6462653920434562
2002-07-01,2.1773133760849985,1.464631562005425,-1.8621337967394316
2002-10-01,2.725665359093745,1.7341426890576495,-2.3417446789545786
2003-01-01,2.6672250294904853,1.9113119277060164,-2.424071091076749
2003-04-01,2.226353002217027,1.9139582143473888,-2.1597911451015155
2003-07-01,2.4145124020870448,2.0079312623925816,-1.1360127423253015
2003-10-01,2.500723752737342,2.0370881467754787,-0.6003173752368739
2004-01-01,2.3045897522226704,2.2652070990439643,-0.655978774266972
2004-04-01,1.8402721204808354,2.7290499152873737,-0.510881255473958
2004-07-01,1.7309092482501283,2.792572146846539,-0.20249875457533834
2004-10-01,1.292225535995744,2.962428676309581,0.17566872280798815
2005-01-01,0.9361396861475276,3.050145153658268,0.6630401478032579
2005-04-01,0.8324740323567567,2.961027098345692,0.560791502766453
2005-07-01,0.7091468109319657,3.244919570369631,0.7667147210723054
2005-10-01,0.8381480533442867,3.2925105392862086,0.7653583896223167
2006-01-01,1.2062797769247586,3.1993844473677813,1.5790741930018342
2006-04-01,1.2037144278162442,3.356415880135044,1.3193566969729276
2006-07-01,1.0911193483217136,3.1380497692251375,0.9785131470897993
2006-10-01,1.2268172845564016,2.6631626115706464,1.3802493337451274
2007-01-01,1.1337418526847278,2.9101928904708974,1.210045827243234
2007-04-01,0.8803489130482935,2.728833361150196,1.3369512421074534
2007-07-01,0.8482078506585571,2.5737557418193724,1.4130960821377543
2007-10-01,1.1492487151284547,2.6223899964610053,1.5423542154002265
2008-01-01,1.2870221934253174,2.03211180704872,0.6042795602642963
2008-04-01,1.1845613045451846,1.8184772139118621,0.7090019021542987
2008-07-01,1.8303379418049417,2.0278848595369547,-0.2925760031827133
2008-10-01,2.049997405945431,1.862218799213733,-2.911574308208956
2009-01-01,1.884972396166786,1.406402107312621,-4.410330302559212
2009-04-01,1.6987933913816067,0.7499601085048768,-4.950391861346101
2009-07-01,1.525733445624533,0.1153859206552088,-4.963564501238276
2009-10-01,1.4613325350187707,0.18958843510545886,-4.273766532998749
2010-01-01,1.673371290597059,0.5567916153733199,-4.1478036542868555
2010-04-01,2.170525278474774,1.216118376397124,-3.5652807355122142
2010-07-01,2.2121744695161403,1.4033739731754258,-3.180441760009562
2010-10-01,2.24691894336232,1.6704024509748505,-3.039428667351587
2011-01-01,2.516688742046585,1.8981086302169992,-3.643766771843081
2011-04-01,2.51044393302408,2.0732974930424364,-3.376787551783647
2011-07-01,2.6645138221307083,2.3767870474577624,-3.791871968144643
2011-10-01,2.4578493614241004,1.9066294425241548,-3.1148537751642698
2012-01-01,2.5286709225592245,1.9828935476048803,-2.7142664265632974
2012-04-01,2.696053681721148,1.731160896130346,-2.70155851248368
2012-07-01,2.5752921448806054,1.677260655666335,-2.9883447590243204
2012-10-01,2.515358931233495,2.0655541664401866,-3.307027327732432
2013-01-01,2.295338043455864,1.8730072953255794,-2.794566826516271
2013-04-01,2.144423380232941,1.6726403823178027,-2.979460042516846
2013-07-01,2.149191952168912,1.6131967414924508,-2.6020254887240015
